time,v(ng),i(Vg_sense),i(Vd_sense),i(Vs_sense),i(Vb_sense)
1.79280000e-04,3.22704000e-01,4.89035387e-12,4.32182423e-10,4.34436820e-10,2.63595617e-12
1.80280000e-04,3.24504000e-01,4.90626574e-12,4.55091185e-10,4.57357499e-10,2.63995222e-12
1.81280000e-04,3.26304000e-01,4.92250111e-12,4.79192609e-10,4.81470486e-10,2.64462386e-12
1.82280000e-04,3.28104000e-01,4.93888145e-12,5.04547226e-10,5.06836340e-10,2.64976718e-12
1.83280000e-04,3.29904000e-01,4.95558563e-12,5.31218570e-10,5.33518510e-10,2.65564552e-12
1.84280000e-04,3.31704000e-01,4.97243500e-12,5.59273225e-10,5.61583602e-10,2.66205785e-12
1.85280000e-04,3.33504000e-01,4.98960830e-12,5.88781054e-10,5.91101392e-10,2.66927050e-12
1.86280000e-04,3.35304000e-01,5.00692670e-12,6.19815260e-10,6.22145101e-10,2.67708559e-12
1.87280000e-04,3.37104000e-01,5.02456882e-12,6.52452625e-10,6.54791421e-10,2.68577272e-12
1.88280000e-04,3.38904000e-01,5.04235569e-12,6.86773582e-10,6.89120800e-10,2.69513743e-12
1.89280000e-04,3.40704000e-01,5.06046576e-12,7.22862470e-10,7.25217483e-10,2.70545293e-12
1.90280000e-04,3.42504000e-01,5.07871992e-12,7.60807621e-10,7.63169812e-10,2.71652846e-12
1.91280000e-04,3.44304000e-01,5.09729648e-12,8.00701618e-10,8.03070274e-10,2.72864113e-12
1.92280000e-04,3.46104000e-01,5.11601616e-12,8.42641406e-10,8.45015818e-10,2.74160428e-12
1.93280000e-04,3.47904000e-01,5.13505712e-12,8.86728563e-10,8.89107920e-10,2.75569925e-12
1.94280000e-04,3.49704000e-01,5.15423993e-12,9.33069417e-10,9.35452913e-10,2.77074382e-12
1.95280000e-04,3.51504000e-01,5.17374258e-12,9.81775346e-10,9.84162064e-10,2.78702395e-12
1.96280000e-04,3.53304000e-01,5.19338549e-12,1.03296290e-09,1.03535192e-09,2.80436223e-12
1.97280000e-04,3.55104000e-01,5.21334649e-12,1.08675411e-09,1.08914441e-09,2.82304967e-12
1.98280000e-04,3.56904000e-01,5.23344586e-12,1.14327666e-09,1.14566719e-09,2.84291409e-12
1.99280000e-04,3.58704000e-01,5.25386124e-12,1.20266418e-09,1.20505379e-09,2.86425194e-12
2.00280000e-04,3.60504000e-01,5.27441275e-12,1.26505641e-09,1.26744393e-09,2.88689675e-12
2.01280000e-04,3.62304000e-01,5.29527790e-12,1.33059960e-09,1.33298372e-09,2.91115089e-12
2.02280000e-04,3.64104000e-01,5.31627661e-12,1.39944661e-09,1.40182603e-09,2.93685405e-12
2.03280000e-04,3.65904000e-01,5.33758625e-12,1.47175734e-09,1.47413061e-09,2.96431502e-12
2.04280000e-04,3.67704000e-01,5.35902658e-12,1.54769891e-09,1.55006456e-09,2.99338017e-12
2.05280000e-04,3.69504000e-01,5.38077478e-12,1.62744602e-09,1.62980243e-09,3.02436523e-12
2.06280000e-04,3.71304000e-01,5.40265048e-12,1.71118121e-09,1.71352674e-09,3.05712380e-12
2.07280000e-04,3.73104000e-01,5.42483070e-12,1.79909524e-09,1.80142809e-09,3.09197914e-12
2.08280000e-04,3.74904000e-01,5.44713488e-12,1.89138733e-09,1.89370567e-09,3.12879263e-12
2.09280000e-04,3.76704000e-01,5.46973989e-12,1.98826560e-09,1.99056744e-09,3.16789566e-12
2.10280000e-04,3.78504000e-01,5.49246503e-12,2.08994732e-09,2.09223062e-09,3.20915803e-12
2.11280000e-04,3.80304000e-01,5.51548699e-12,2.19665937e-09,2.19892193e-09,3.25291987e-12
2.12280000e-04,3.82104000e-01,5.53862491e-12,2.30863851e-09,2.31087807e-09,3.29906009e-12
